Date	Total	Weekday	Month	Year	Holiday	PlusOne	MinusOne
1/1/2012	317	1	1	2012	1	0	1
1/2/2012	309	2	1	2012	1	1	0
1/3/2012	422	3	1	2012	0	1	0
1/4/2012	414	4	1	2012	0	0	0
1/5/2012	411	5	1	2012	0	0	0
1/6/2012	299	6	1	2012	0	0	0
1/7/2012	273	7	1	2012	0	0	0
1/8/2012	477	1	1	2012	0	0	0
1/9/2012	434	2	1	2012	0	0	0
1/10/2012	415	3	1	2012	0	0	0
1/11/2012	416	4	1	2012	0	0	0
1/12/2012	410	5	1	2012	0	0	0
1/13/2012	299	6	1	2012	0	0	0
1/14/2012	271	7	1	2012	0	0	0
1/15/2012	443	1	1	2012	0	0	1
1/16/2012	308	2	1	2012	1	0	0
1/17/2012	418	3	1	2012	0	1	0
1/18/2012	412	4	1	2012	0	0	0
1/19/2012	407	5	1	2012	0	0	0
1/20/2012	299	6	1	2012	0	0	0
1/21/2012	269	7	1	2012	0	0	0
1/22/2012	473	1	1	2012	0	0	0
1/23/2012	434	2	1	2012	0	0	0
1/24/2012	415	3	1	2012	0	0	0
1/25/2012	415	4	1	2012	0	0	0
1/26/2012	408	5	1	2012	0	0	0
1/27/2012	298	6	1	2012	0	0	0
1/28/2012	268	7	1	2012	0	0	0
1/29/2012	476	1	1	2012	0	0	0
1/30/2012	434	2	1	2012	0	0	0
1/31/2012	418	3	1	2012	0	0	0
2/1/2012	441	4	2	2012	0	0	0
2/2/2012	439	5	2	2012	0	0	0
2/3/2012	321	6	2	2012	0	0	0
2/4/2012	288	7	2	2012	0	0	0
2/5/2012	506	1	2	2012	0	0	0
2/6/2012	458	2	2	2012	0	0	0
2/7/2012	446	3	2	2012	0	0	0
2/8/2012	441	4	2	2012	0	0	0
2/9/2012	435	5	2	2012	0	0	0
2/10/2012	316	6	2	2012	0	0	0
2/11/2012	286	7	2	2012	0	0	0
2/12/2012	511	1	2	2012	0	0	0
2/13/2012	431	2	2	2012	0	0	1
2/14/2012	316	3	2	2012	1	0	0
2/15/2012	444	4	2	2012	0	1	0
2/16/2012	434	5	2	2012	0	0	0
2/17/2012	320	6	2	2012	0	0	0
2/18/2012	289	7	2	2012	0	0	0
2/19/2012	477	1	2	2012	0	0	1
